CSCI 134 Diving into the Deluge of Data,computer science;programming;software engineering;data analytics;technology;graduate school;,MWF 11:00-11:50; - ; -,"none, except for the standard prerequisites for a (Q) course; previous programming experience is not required",,,,,,,,,,,,,,,,,,,,
CSCI 136 Data Strctures & Advanced Prog,computer science;programming;software engineering;technology;graduate school;,MWF 11:00-11:50; - ; -,"CSCI 134 or equivalent; fulfilling the Discrete Mathematics Proficiency requirement is recommended, but not required",,,,,,,,,,,,,,,,,,,,
CSCI 237 Computer Organization,computer science;network engineering; systems engineering;hardware engineering;software engineering;technology;systems architecture;,MWF 10:00-10:50; - ; -,"CSCI 134, or both experience in programming and permission of instructor",,,,,,,,,,,,,,,,,,,,
CSCI 256 Algorithm Design & Analysis,computer science;software engineering;programming;graduate school;,MWF 12:00-12:50; - ; -,CSCI 136 and fulfillment of the Discrete Mathematics Proficiency requirement,,,,,,,,,,,,,,,,,,,,
CSCI 333 Storage Systems,computer science;systems architecture;systems engineering;,MR 14:35-15:50; - ; -,CSCI 136; CSCI 237 or permission of instructor,,,,,,,,,,,,,,,,,,,,
CSCI 334 Principles of Programming Lang,computer science;programming;app development;web development;graduate school,TR 09:55-11:10; - ; -,CSCI 136,,,,,,,,,,,,,,,,,,,,
ECON 110 Principles of Microeconomics,economics;ESSENTIAL; business;politics;banking;finance;consulting;asset managment;law;quantitative trading;private equity;graduate school;mathematics;micro economics;software;computer science,TR 08:30-09:45; - ; -,none,,,,,,,,,,,,,,,,,,,,
ECON 120 Principles of Macroeconomics,economics;macroecnomics;monetary economics;political science;politics;social justice;history;finance;banking;consulting;asset management;private equity;gender studies;feminism,TF 13:10-14:25; - ; -,ECON 110,,,,,,,,,,,,,,,,,,,,
ECON 213 Intro Envi & Nat'l Resrce Econ,economics;environmental;cost benefit analysis;natural resources;sustainibility;ecosystems;climate change;social justice,MW 11:00-12:15; - ; -,ECON 110,,,,,,,,,,,,,,,,,,,,
ECON 215 Globalization,economics;macroeconomics;politics;political science;immigration;globalization;inequalities;finance;asset management,TR 08:30-09:45; - ; -,ECON 110,,,,,,,,,,,,,,,,,,,,
ECON 229 Law and Economics,economics;law;law school;graduate school;venture capital;start up;entrepreneurship;entrepreneur;legal system;banking;finance,M 19:00-21:40; - ; -,ECON 110,,,,,,,,,,,,,,,,,,,,
ECON 251 Price and Allocation Theory,economics;graduate school;banking;finance;asset management; private equity; quantitative trading;business;applied mathematics; microeconomics,TF 13:10-14:25; - ; -,ECON 110 and MATH 130 or its equivalent,,,,,,,,,,,,,,,,,,,,
ECON 252 Macroeconomics,economics;graduate school;banking;finance;consulting;political economy;politics;political science;asset management;quantitative trading; applied mathematics,MW 11:00-12:15; - ; -,ECON 110 and 120 and MATH 130 or its equivalent,,,,,,,,,,,,,,,,,,,,
