web-scraper-order,web-scraper-start-url,single_class,single_class-href
1555082224-1642,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Reading Contemporary Poetry,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30127
1555082117-1591,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Practical Foundations of Coaching,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30274
1555082371-1713,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Introductory Macroeconomics,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30244
1555082304-1681,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Historical and Philosophical Perspectives and the Educative Process,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30111
1555082086-1576,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Outdoor Adventure Rock Climbing I,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30285
1555081536-1309,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Research Seminar on Categorization and Intergroup Behavior,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30664
1555081906-1489,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,International Politics,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30569
1555082340-1698,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Intermediate Macroeconomics,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30257
1555081420-1253,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,COMMUNICATING WITH DATA,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30616
1555082659-1853,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Topics in Advanced Microscopy Techniques for Research Total Internal Reflection Fluorescence Microscopy,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30769
1555082884-1962,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Seminar: Contemporary Topics in Africana Studies The Politics of Grief,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30360
1555082205-1633,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Methods of Literary Study,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30128
1555082474-1763,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Dance Production,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30592
1555082169-1616,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Imagining Evil,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30154
1555081902-1487,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Foreign Policy of Japan,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30571
1555082888-1964,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,The Harlem Renaissance,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30362
1555082313-1685,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Colloquium in the Practice of Teaching,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30785
1555081948-1509,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Elementary German,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30402
1555081694-1386,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Writing About Music,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30328
